name,abstract,block_name,paper
Sistema Integrado de Geração Automática de Conteúdo para Videojogos de Plataformas,"Neste artigo é apresentado um sistema de suporte à geração automática de níveis para videojogos de plataformas. Este assenta numa framework genérica de representação de níveis, compatível com grande parte dos conceitos existentes neste tipo de jogos. Numa perspectiva de edição de conteúdo, o sistema pode ser utilizado como editor de níveis genérico. A arquitectura desenvolvida é modular e baseada em plugins, permitindo a adaptação para outros formatos de níveis. Com um princípio similar, é possível integrar algoritmos de geração automática e adaptação de conteúdo. É abordada a arquitectura da solução proposta e a forma como é possível estabelecer um pipeline de algoritmos de geração automática. Finalmente, são também descritos alguns destes algoritmos.",Jogos e Entretenimento,sistema integrado.pdf
Figuras de Ação como Interfaces Tangíveis para a Criação de Filmes de Animação,"Figuras de acção utilizadas como interfaces tangíveis possibilitam uma interacção fácil, e intuitiva para crianças que pretendam animar personagens virtuais. Discutimos a experiência da concepção e desenvolvimento do sistema Voodoo, um sistema onde as crianças assumem o papel de um “realizador de cinema”, animando personagens virtuais através de figuras de acção. Este sistema transforma os movimentos e gestos executados sobre a figura de acção em animações, tendo por base padrões de movimentos e o contexto narrativo de uma história bem conhecida. Discutimos sobre uma avaliação preliminar do Voodoo, descrevemos algumas lições apreendidas, e reflectimos sobre o futuro deste tipo de sistemas.",Jogos e Entretenimento,figuras de acao.pdf
Mobile Empowerment - The new paradigm shift in today's economies,,Orador Convidado Prof. J.L. Encarnação,
Adaptação de Cor para Dicromatas na Visualização de Imagens,"O incremento de informação visual nos novos media veio conferir à cor um papel novo e preponderante. Entre outros, a cor é fundamental na destrinça de conteúdos, possibilitando uma perceção integral das coisas. No entanto, algumas pessoas têm uma deficiência visual designada deficiente visão da cor, a qual limita a visão da cor de uma forma adequada, e que compromete a perceção correta dos conteúdos visuais. De modo a ultrapassar este impedimento, neste artigo é proposto um algoritmo que pode ser usado para adaptar a cor para dicromatas, melhorando a perceção de imagens a cores. Consequentemente, as imagens tornam-se mais legíveis e é melhorado o discernimento dos respetivos conteúdos visuais.",Visão por Computador e Realidade Aumentada,adaptacao da cor.pdf
Identificação de Objectos em Imagens tomográficas através de GPGPUs,"Neste artigo encontra-se a implementacao e a avaliacao de um novo algoritmo híbrido (CPU-GPU) para a identificacao de estruturas conexas em volumes de dados tridimensionais. Este algoritmo explora o paralelismo, tanto ao nível do CPU como dos GPGPUs. Contudo, o processamento e maioritariamente realizado em GPUs. A motivacao para este algoritmo resulta da sua utilizacao no contexto dum sistema mais vasto e orientado para a resolucao de problemas de caracterizacao estrutural de materiais através de tomografia. Através da solucao presente, será possível analisar a localizacao e a morfologia dos objetos presentes nos volumes tridimensionais. A grande vantagem da utilizacao deste algoritmo deve-se a permitir tempos de execucao bastante baixos, bem como a capacidade de processar grandes volumes de dados. Neste caso, as solucoes parciais são calculadas de forma independente numa particao dos dados iniciais, sendo posteriormente integradas pelo CPU, usando uma abordagem que permite, ainda assim, explorar o paralelismo oferecido pelos múltiplos cores CPU.",Visão por Computador e Realidade Aumentada,indentificacao de objectos.pdf
Adaptação de Simbologia em Realidade Aumentada,"Em aplicações de Realidade Aumentada, quando a cor dos elementos gráficos, que são desenhados sobre uma imagem real, é semelhante à cor do fundo circundante, torna-se difícil identificar esses elementos. O ajuste dinâmico do aspecto dos símbolos (objectos virtuais), em função da cor do fundo, deverá permitir melhorar a legibilidade da informação a transmitir ao utilizador. O objectivo deste trabalho é identificar um conjunto de adaptações a aplicar aos símbolos que permitam realçá-los mas sem alterar a sua semântica. Neste artigo apresentamos o resultado de dois estudos que efectuámos. No primeiro, averiguámos as preferências dos utilizadores relativamente às seguintes adaptações dos símbolos: adição de um rebordo, ajuste da luminosidade da cor, aumento do tamanho, e alteração da cor dos caracteres no interior do símbolo. Os utilizadores preferiram maioritariamente a adição de rebordo e em segundo lugar o ajuste da luminosidade da cor. Tendo em atenção estes resultados, realizámos um segundo estudo para averiguar qual a variação mínima da luminosidade para que um símbolo se destaque da cor do fundo, cujo resultado indica cerca de 0.25 unidades do modelo HSV.",Visão por Computador e Realidade Aumentada,adaptacao simbologia.pdf
Modelação Procedimental de Ambiente Rodoviários para Simulação de Condução,"A modelação de ambientes rodoviários para simulação de condução pode-se tornar uma tarefa morosa e dispendiosa de recursos, se não se recorrer a métodos de modelação automática. Os ambientes rodoviários utilizados na simulação de condução têm que obedecer a elevados requisitos de especificação e de realismo. A simulação de condução para fins científicos requer ainda a coexistência de uma descrição semântica do ambiente, que permitirá a colocação de atores durante a simulação e a produção de relatórios relativos à simulação. Este artigo apresenta uma proposta de uma metodologia para a modelação procedimental de ambiente rodoviários adequados para simulação em tempo real. A metodologia proposta integra a modelação procedimental de ambiente rodoviários num único processo desde a determinação dos nós de ligação até à obtenção do modelo geométrico e da descrição semântica de todos os elementos envolvidos. No desenho desta metodologia pretendeu-se mapear os conceitos e práticas utilizadas em engenharia de vias, produzindo assim ambientes rodoviários semelhantes aos encontrados em traçado real. Será possível a interação, por utilizadores não especialista em engenharia informática, em qualquer fase do processo de especificação do ambiente permitindo cumprir as especificações particulares de cada ensaio experimental. Estão previstas tarefas de avaliação dos modelos obtidos, quer a nível do seu traçado, da rede rodoviária gerada, assim como avaliação de todo o processo automático de geração de modelos. Prevê-se que a metodologia proposta permita obter de forma eficiente modelos 3D de excelente qualidade e adequados à utilização em sistemas de simulação visual para fins científicos.",Modelação e Reconstrução,modelacao procedimental.pdf
CaS: Collection Aware Segmentation,"Ao longo dos tempos, a segmentacao tem provado ser um desafio devido a sua subjectividade. A segmentacao depende não apenas do domínio em causa mas acima de tudo da interpretacao que os humanos fazem do objecto. Para cada contexto, diversas solucoes espeíficas foram propostas com diferentes objectivos, limitacoes e vantagens. Neste trabalho propomos ultrapassar algumas dessas limitacoes usando o algoritmo de segmentacao Collection-aware Segmentation (CaS). Este algoritmo identifica segmentos de objectos em coleccoes baseados na sua individualidade nessa coleccao. Para esse efeito realizámos um conjunto de testes para compreender como as pessoas segmentam objectos numa coleccao. A partir dos resultados destes testes desenvolvemos os algoritmos Adaped-CaS e Geons-augmented CaS. Avaliacoes experimentais com utilizadores mostraram que a abordagem proposta produz segmentacoes com significado para os humanos.",Modelação e Reconstrução,CaS collection.pdf
ERAS - An Ontology-Based Tool for Expeditios Reconstruction of Virtual Cultural Heritage Sites,"Nos últimos anos, vários investigadores têm proposto métodos semiautomáticos para a geração expedita de modelos virtuais de edifícios e até cidades, em alguns casos direcionados à reconstrução do património cultural. No entanto, a maioria das abordagens propostas foca a geração de exteriores. Apesar da investigação realizada em torno da geração de interiores não ser inexistente, denota-se ainda uma falha de regras reais de suporte à geração dos referidos interiores. Para além disso, a especificação das regras de geração envolve extensas análises a documentos como livros, documentos históricos, plantas e outras representações gráficas, bem como o conhecimento de linguagens de gramática. Pretende-se seguir estas linhas de investigação a fim de obter uma ferramenta de modelação expedita que produza modelos de alta-fidelidade, empregando modelação procedimental. Este artigo tem como objetivo a apresentação da arquitetura geral de um sistema para a reconstrução virtual de sítios arqueológicos, incluindo exteriores e interiores de edifícios, aplicando um novo método de extração de informação a partir de dados geográficos e descrições textuais. Também se pretende apresentar a ontologia abstrata que regula a extração de dados e que define o esquema semântico de relação entre os diferentes elementos que integram uma cidade genérica, de forma a permitir a derivação por parte de outros estilos arquitetónicos.",Modelação e Reconstrução,ERAS.pdf
SketchTester: Analysis and Evaluation of Calligraphic Gesture Recognizers,,Interação,Sketch Tester.pdf
